id,title,category,toxicity,expected_label,content,review,source_id
AI-SAFE-001,Lâu rồi không gặp fen,safe,L0,0,,,
AI-SAFE-002,Hôm nay có bài gì không m,safe,L0,0,,,
AI-SAFE-003,Hôm nay nhóm ông thuyết trình tốt á,safe,L0,0,,,
AI-SAFE-004,"Thứ 2 này mọi người rảnh không, mình họp nhóm 1 tí",safe,L0,0,,,
AI-SAFE-005,"Tui nghĩ kế hoạch này chưa ổn, chúng ta cần làm khảo sát trước khi lên plan.",safe,L0,0,,,
AI-SAFE-006,"Anh lỡ làm vỡ cái ly của em rồi, xin lỗi",safe,L0,0,,,
AI-SAFE-007,"À thứ 2 t có việc bận rồi, xin lỗi nha",safe,L0,0,,,
AI-SAFE-008,"Ý tưởng của ông tốt rồi, nhưng mọi người sẽ có xu hướng thích video ngắn hơn.",safe,L0,0,,,
AI-SAFE-009,Hôm nay có tiết toán sẽ có dự giờ.,safe,L0,0,,,
AI-SAFE-010,"Tui bị hư xe rồi, bà đi in giúp bộ tài liệu trước giúp tôi được không, bên zalo ấy.",safe,L0,0,,,
AI-SAFE-011,"Đừng áp lực quá em à, tinh thần thoải mái là nhất",safe,L0,0,,,
AI-SAFE-012,Ngày mai mưa à?,safe,L0,0,,,
AI-SAFE-013,"Cảm ơn m nha, không có m t không biết phải làm sao",safe,L0,0,,,
AI-SAFE-014,"Hôm nay đến đây thôi, ae nghỉ ngơi đi, vất vả rồi",safe,L0,0,,,
AI-SAFE-015,Ê món gà kia ngon cục,safe,L0,0,,,
AI-SAFE-016,"IELTS 8.0 luôn à, ông giỏi ghê",safe,L0,0,,,
AI-SAFE-017,Dạ cho em hỏi phòng giám thị ở đâu vậy ạ,safe,L0,0,,,
AI-SAFE-018,"Cuối tuần đi đá banh không Minh, có Khoa rồi",safe,L0,0,,,
AI-SAFE-019,Nhắc thời hạn,safe,L0,0,,,
AI-SAFE-020,Đề xuất phân công,safe,L0,0,,,
AI-SAFE-021,Phản hồi kỹ thuật trung tính,safe,L0,0,,,
AI-SAFE-022,Thông báo vắng mặt,safe,L0,0,,,
AI-SAFE-023,Chia sẻ sở thích,safe,L0,0,,,
AI-SAFE-024,Hỏi thăm sức khỏe,safe,L0,0,,,
AI-SAFE-025,Kết thúc cuộc trò chuyện,safe,L0,0,,,
AI-TOXIC-001,Chê bai năng lực trực tiếp,insult,L2,1,,,
AI-TOXIC-002,Hạ thấp trí tuệ,insult,L2,1,,,
AI-TOXIC-003,Xua đuổi thô lỗ,insult,L2,1,,,
AI-TOXIC-004,Miệt thị sản phẩm cá nhân,insult,L2,1,,,
AI-TOXIC-005,Chế giễu thất bại,insult,L2,1,,,
AI-TOXIC-006,Gọi người vô dụng,insult,L2,1,,,
AI-TOXIC-007,Công kích ngoại hình,insult,L2,1,,,
AI-TOXIC-008,Khinh thường ý kiến,insult,L2,1,,,
AI-TOXIC-009,Mỉa mai năng lực học tập,insult,L2,1,,,
AI-TOXIC-010,Sỉ nhục trong trò chơi,insult,L2,1,,,
AI-TOXIC-011,Gán nhãn đáng ghét,insult,L2,1,,,
AI-TOXIC-012,Chửi phản hồi chậm,insult,L2,1,,,
AI-TOXIC-013,Phủ nhận giá trị cá nhân,insult,L2,1,,,
AI-TOXIC-014,Nhục mạ quyết định,insult,L2,1,,,
AI-TOXIC-015,Chế giễu cách nói,insult,L2,1,,,
AI-TOXIC-016,Lăng mạ tổng quát,insult,L2,1,,,
AI-TOXIC-017,Cô lập khỏi nhóm,insult,L2,1,,,
AI-TOXIC-018,Mỉa mai thành tích,insult,L2,1,,,
AI-TOXIC-019,Công kích khả năng giao tiếp,insult,L2,1,,,
AI-TOXIC-020,Chê bai gia đình,insult,L2,1,,,
AI-TOXIC-021,Sỉ nhục qua biệt danh,insult,L2,1,,,
AI-TOXIC-022,Mệnh lệnh hạ nhục,insult,L2,1,,,
AI-TOXIC-023,So sánh miệt thị,insult,L2,1,,,
AI-TOXIC-024,Công kích lặp lại,insult,L2,1,,,
AI-TOXIC-025,Chế giễu lỗi chính tả,insult,L2,1,,,
AI-THREAT-001,Đe dọa sau giờ học,threat,L3,1,,,
AI-THREAT-002,Đe dọa tìm đến nhà,threat,L3,1,,,
AI-THREAT-003,Đe dọa phá đồ,threat,L3,1,,,
AI-THREAT-004,Đe dọa phục kích,threat,L3,1,,,
AI-THREAT-005,Đe dọa gây thương tích,threat,L3,1,,,
AI-THREAT-006,Đe dọa theo dõi,threat,L3,1,,,
AI-THREAT-007,Đe dọa theo nhóm,threat,L3,1,,,
AI-THREAT-008,Đe dọa bằng đồ vật,threat,L3,1,,,
AI-THREAT-009,Đe dọa trả thù,threat,L3,1,,,
AI-THREAT-010,Đe dọa ép im lặng,threat,L3,1,,,
AI-THREAT-011,Đe dọa xô ngã,threat,L3,1,,,
AI-THREAT-012,Đe dọa hành hung ngay lập tức,threat,L3,1,,,
AI-THREAT-013,Đe dọa có điều kiện,threat,L3,1,,,
AI-THREAT-014,Đe dọa qua tin nhắn,threat,L3,1,,,
AI-THREAT-015,Đe dọa tại trường,threat,L3,1,,,
AI-THREAT-016,Đe dọa làm hại bạn bè,threat,L3,1,,,
AI-THREAT-017,Đe dọa làm hại vật nuôi,threat,L3,1,,,
AI-THREAT-018,Đe dọa công khai thông tin,threat,L3,1,,,
AI-THREAT-019,Đe dọa phá tài khoản,threat,L3,1,,,
AI-THREAT-020,Đe dọa mơ hồ nhưng trực tiếp,threat,L3,1,,,
AI-CTX-001,Trích dẫn để phản đối xúc phạm,context,L1,0,,1.0,
AI-CTX-002,Báo cáo lời đe dọa,context,L1,0,,1.0,
AI-CTX-003,Giải thích từ ngữ độc hại,context,L1,0,,1.0,
AI-CTX-004,Hướng dẫn xử lý bắt nạt,context,L1,0,,1.0,
AI-CTX-005,Trích lời trong tác phẩm,context,L1,0,,1.0,
AI-CTX-006,Phê bình hành vi chửi bới,context,L1,0,,1.0,
AI-CTX-007,Hỏi cách xử lý đe dọa,context,L1,0,,1.0,
AI-CTX-008,Tường thuật hòa giải,context,L1,0,,1.0,
AI-CTX-009,Tin tức về sự cố,context,L1,0,,1.0,
AI-CTX-010,Cảnh báo an toàn,context,L1,0,,1.0,
AI-CTX-011,Phân tích ngôn ngữ,context,L1,0,,1.0,
AI-CTX-012,Đóng vai tình huống,context,L1,0,,1.0,
AI-CTX-013,Phủ định lời xúc phạm,context,L1,0,,1.0,
AI-CTX-014,Nhắc lại để xin trợ giúp,context,L1,0,,1.0,
AI-CTX-015,Trích dẫn không rõ người nói,context,L1,0,,1.0,
AI-OBF-001,Xúc phạm bỏ dấu,evasion,L2,1,,,AI-TOXIC-001
AI-OBF-002,Xúc phạm chèn dấu câu,evasion,L2,1,,,AI-TOXIC-002
AI-OBF-003,Xúc phạm kéo dài ký tự,evasion,L2,1,,,AI-TOXIC-003
AI-OBF-004,Xúc phạm thay chữ bằng số,evasion,L2,1,,,AI-TOXIC-004
